OBJECTID,State ANSI,County ANSI,FIPS_full,State,State,County,Area_Name,HorsesInventory,HorseInvNum,POP_ESTIMATE_2017,N_POP_CHG_2017,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Median_Household_Income_2017,Med_HH_Income_Percent_of_State_Total_2017,"Poverty Estimate, All Ages",Median Household Income
1,1,1,1001,ALABAMA,AL,AUTAUGA,Autauga County,479,479,55443,201,2,2,1,25972,24958,1014,3.9,58343,121.1,7390,58343
2,1,3,1003,ALABAMA,AL,BALDWIN,Baldwin County,"1,309","1,309",212619,4907,3,2,1,92090,88342,3748,4.1,56607,117.5,21199,56607
3,1,5,1005,ALABAMA,AL,BARBOUR,Barbour County,250,250,25158,-661,6,6,0,8317,7831,486,5.8,32490,67.4,7414,32490
4,1,7,1007,ALABAMA,AL,BIBB,Bibb County,377,377,22555,-21,1,1,1,8550,8174,376,4.4,45795,95,4137,45795
5,1,9,1009,ALABAMA,AL,BLOUNT,Blount County,"1,499","1,499",57827,310,1,1,1,24725,23726,999,4,48253,100.1,7343,48253
6,1,11,1011,ALABAMA,AL,BULLOCK,Bullock County,269,269,10176,-205,6,6,0,4833,4595,238,4.9,29113,60.4,2956,29113
7,1,13,1013,ALABAMA,AL,BUTLER,Butler County,481,481,19898,-131,6,6,0,8941,8446,495,5.5,36842,76.4,4154,36842
8,1,15,1015,ALABAMA,AL,CALHOUN,Calhoun County,"1,684","1,684",114664,-354,3,2,1,45770,43497,2273,5,45937,95.3,19832,45937
9,1,17,1017,ALABAMA,AL,CHAMBERS,Chambers County,412,412,33758,-13,6,5,0,15200,14579,621,4.1,36883,76.5,6036,36883
10,1,19,1019,ALABAMA,AL,CHEROKEE,Cherokee County,506,506,25815,39,6,6,0,11340,10877,463,4.1,44842,93,4381,44842
11,1,21,1021,ALABAMA,AL,CHILTON,Chilton County,707,707,44117,221,1,1,1,19257,18470,787,4.1,46405,96.3,7303,46405
12,1,23,1023,ALABAMA,AL,CHOCTAW,Choctaw County,113,113,12935,-114,9,10,0,4407,4128,279,6.3,36711,76.2,3031,36711
13,1,25,1025,ALABAMA,AL,CLARKE,Clarke County,417,417,24097,-252,7,11,0,7737,7078,659,8.5,36719,76.2,5541,36719
14,1,27,1027,ALABAMA,AL,CLAY,Clay County,316,316,13367,-26,9,10,0,5796,5544,252,4.3,39642,82.3,2363,39642
15,1,29,1029,ALABAMA,AL,CLEBURNE,Cleburne County,289,289,14906,53,8,4,0,5724,5466,258,4.5,45480,94.4,2365,45480
16,1,31,1031,ALABAMA,AL,COFFEE,Coffee County,615,615,51777,632,4,5,0,20886,19966,920,4.4,51998,107.9,7954,51998
17,1,33,1033,ALABAMA,AL,COLBERT,Colbert County,"1,130","1,130",54509,142,3,2,1,23252,22038,1214,5.2,46100,95.7,8324,46100
18,1,35,1035,ALABAMA,AL,CONECUH,Conecuh County,454,454,12435,-66,7,11,0,4487,4212,275,6.1,30796,63.9,2939,30796
19,1,37,1037,ALABAMA,AL,COOSA,Coosa County,312,312,10757,-69,8,3,0,4380,4174,206,4.7,42442,88.1,1823,42442
20,1,39,1039,ALABAMA,AL,COVINGTON,Covington County,612,612,37078,-304,6,6,0,15716,14895,821,5.2,39093,81.1,6447,39093
21,1,41,1041,ALABAMA,AL,CRENSHAW,Crenshaw County,383,383,13861,-61,8,6,0,6403,6112,291,4.5,38419,79.7,2722,38419
22,1,43,1043,ALABAMA,AL,CULLMAN,Cullman County,"1,758","1,758",82836,380,4,3,0,37824,36404,1420,3.8,45925,95.3,11256,45925
23,1,45,1045,ALABAMA,AL,DALE,Dale County,394,394,49254,-47,4,5,0,19934,19040,894,4.5,42572,88.3,8528,42572
24,1,47,1047,ALABAMA,AL,DALLAS,Dallas County,480,480,39235,-857,4,5,0,15027,13898,1129,7.5,31329,65,10796,31329
25,1,49,1049,ALABAMA,AL,DE KALB,DeKalb County,"1,760","1,760",71404,303,6,6,0,29570,28239,1331,4.5,39906,82.8,13785,39906
26,1,51,1051,ALABAMA,AL,ELMORE,Elmore County,746,746,81416,153,2,2,1,37217,35840,1377,3.7,59652,123.8,9151,59652
27,1,53,1053,ALABAMA,AL,ESCAMBIA,Escambia County,499,499,36999,-489,6,6,0,14443,13721,722,5,37870,78.6,7971,37870
28,1,55,1055,ALABAMA,AL,ETOWAH,Etowah County,774,774,102937,88,3,2,1,43062,41079,1983,4.6,41791,86.7,18257,41791
29,1,57,1057,ALABAMA,AL,FAYETTE,Fayette County,310,310,16474,-81,6,6,0,6553,6243,310,4.7,39394,81.7,3146,39394
30,1,59,1059,ALABAMA,AL,FRANKLIN,Franklin County,531,531,31590,-64,6,6,0,13973,13374,599,4.3,41025,85.1,6394,41025
31,1,61,1061,ALABAMA,AL,GENEVA,Geneva County,548,548,26410,-88,3,2,1,10782,10313,469,4.3,38561,80,5659,38561
32,1,63,1063,ALABAMA,AL,GREENE,Greene County,156,156,8318,-165,8,6,0,2851,2634,217,7.6,28108,58.3,2752,28108
33,1,65,1065,ALABAMA,AL,HALE,Hale County,253,253,14809,-26,3,2,1,5945,5590,355,6,34905,72.4,3654,34905
34,1,67,1067,ALABAMA,AL,HENRY,Henry County,264,264,17140,57,3,2,1,6713,6385,328,4.9,48094,99.8,2882,48094
35,1,69,1069,ALABAMA,AL,HOUSTON,Houston County,"1,030","1,030",104373,134,3,2,1,44705,42745,1960,4.4,44753,92.9,17095,44753
36,1,71,1071,ALABAMA,AL,JACKSON,Jackson County,"1,362","1,362",51907,-141,6,5,0,23108,21997,1111,4.8,42658,88.5,8539,42658
37,1,73,1073,ALABAMA,AL,JEFFERSON,Jefferson County,559,559,659546,-780,1,1,1,310250,296988,13262,4.3,50731,105.3,107752,50731
38,1,75,1075,ALABAMA,AL,LAMAR,Lamar County,265,265,13902,-25,8,7,0,5740,5498,242,4.2,39796,82.6,2570,39796
39,1,77,1077,ALABAMA,AL,LAUDERDALE,Lauderdale County,"2,005","2,005",92591,134,3,2,1,42052,40094,1958,4.7,46646,96.8,12395,46646
40,1,79,1079,ALABAMA,AL,LAWRENCE,Lawrence County,"1,839","1,839",33077,-156,3,2,1,13636,12961,675,5,42912,89,5494,42912
41,1,81,1081,ALABAMA,AL,LEE,Lee County,621,621,161641,2344,3,2,1,73470,70542,2928,4,51372,106.6,27901,51372
42,1,83,1083,ALABAMA,AL,LIMESTONE,Limestone County,"1,110","1,110",94076,1235,2,2,1,41526,39850,1676,4,57342,119,10830,57342
43,1,85,1085,ALABAMA,AL,LOWNDES,Lowndes County,601,601,10104,-149,2,2,1,3659,3357,302,8.3,33130,68.7,2585,33130
44,1,87,1087,ALABAMA,AL,MACON,Macon County,557,557,18811,-253,6,6,0,7886,7429,457,5.8,30849,64,5213,30849
45,1,89,1089,ALABAMA,AL,MADISON,Madison County,"1,710","1,710",361665,4844,2,2,1,175865,169006,6859,3.9,62750,130.2,44979,62750
46,1,91,1091,ALABAMA,AL,MARENGO,Marengo County,413,413,19366,-150,7,11,0,7694,7261,433,5.6,37469,77.7,4356,37469
47,1,93,1093,ALABAMA,AL,MARION,Marion County,"1,117","1,117",29771,-193,7,11,0,12518,11914,604,4.8,38049,79,5582,38049
48,1,95,1095,ALABAMA,AL,MARSHALL,Marshall County,"2,142","2,142",95609,486,4,5,0,42072,40447,1625,3.9,42751,88.7,18873,42751
49,1,97,1097,ALABAMA,AL,MOBILE,Mobile County,"1,046","1,046",414515,-984,2,2,1,186827,177080,9747,5.2,45615,94.7,80116,45615
50,1,99,1099,ALABAMA,AL,MONROE,Monroe County,452,452,21302,-243,7,11,0,7215,6728,487,6.7,36432,75.6,5018,36432
51,1,101,1101,ALABAMA,AL,MONTGOMERY,Montgomery County,"1,054","1,054",227079,7,2,2,1,105736,101133,4603,4.4,45833,95.1,46315,45833
52,1,103,1103,ALABAMA,AL,MORGAN,Morgan County,"1,603","1,603",118811,-159,3,2,1,55035,52766,2269,4.1,49274,102.2,17301,49274
53,1,105,1105,ALABAMA,AL,PERRY,Perry County,334,334,9319,-209,8,4,0,3437,3168,269,7.8,26703,55.4,3180,26703
54,1,107,1107,ALABAMA,AL,PICKENS,Pickens County,414,414,20182,-127,3,2,1,7718,7302,416,5.4,38379,79.6,4093,38379
55,1,109,1109,ALABAMA,AL,PIKE,Pike County,653,653,33435,-86,6,5,0,15291,14545,746,4.9,40680,84.4,8611,40680
56,1,111,1111,ALABAMA,AL,RANDOLPH,Randolph County,531,531,22683,175,6,4,0,9483,9066,417,4.4,41112,85.3,3771,41112
57,1,113,1113,ALABAMA,AL,RUSSELL,Russell County,444,444,57028,-1180,2,2,1,23390,22375,1015,4.3,36186,75.1,13078,36186
58,1,115,1115,ALABAMA,AL,SAINT CLAIR,St. Clair County,754,754,87976,653,1,1,1,39185,37623,1562,4,52755,109.5,11644,52755
59,1,117,1117,ALABAMA,AL,SHELBY,Shelby County,"1,311","1,311",213729,2299,1,1,1,111325,107723,3602,3.2,74098,153.8,15585,74098
60,1,119,1119,ALABAMA,AL,SUMTER,Sumter County,447,447,12780,-194,8,6,0,4953,4626,327,6.6,26495,55,4238,26495
61,1,121,1121,ALABAMA,AL,TALLADEGA,Talladega County,875,875,80022,-446,4,3,0,34644,32903,1741,5,41733,86.6,14062,41733
62,1,123,1123,ALABAMA,AL,TALLAPOOSA,Tallapoosa County,681,681,40613,43,6,6,0,18201,17432,769,4.2,44469,92.3,7311,44469
63,1,125,1125,ALABAMA,AL,TUSCALOOSA,Tuscaloosa County,"1,061","1,061",207709,1095,3,2,1,99865,95692,4173,4.2,51644,107.2,31238,51644
64,1,127,1127,ALABAMA,AL,WALKER,Walker County,694,694,63935,-613,1,1,1,24898,23639,1259,5.1,41925,87,10975,41925
65,1,129,1129,ALABAMA,AL,WASHINGTON,Washington County,271,271,16532,-78,8,7,0,6691,6237,454,6.8,44249,91.8,3303,44249
